id,label,t,x
0,1,981.16,1.1426296980451314
0,1,981.1700000000001,1.1425416238101436
0,1,981.1800000000001,1.142472158812415
0,1,981.19,1.1424083933892832
0,1,981.2,1.1424629323209206
0,1,981.21,1.142577314719652
0,1,981.22,1.142581043790769
0,1,981.23,1.142597144050004
0,1,981.24,1.142586418445263
0,1,981.25,1.1424792459295534
0,1,981.26,1.1424724913975057
0,1,981.27,1.1424761537831332
0,1,981.28,1.1425098098326114
0,1,981.29,1.1425458277964404
0,1,981.3000000000001,1.1425622312079968
0,1,981.3100000000001,1.1425209393993525
0,1,981.32,1.1425159850255118
0,1,981.33,1.142512798226826
0,1,981.34,1.1425403642643877
0,1,981.35,1.1424781796010024
0,1,981.36,1.142516948724045
0,1,981.37,1.1425441901095683
0,1,981.38,1.1425055589257165
0,1,981.39,1.1425200974759866
0,1,981.4,1.1424920930322782
0,1,981.41,1.1425055770805754
0,1,981.4200000000001,1.1424558951167965
0,1,981.4300000000001,1.1424093791351484
0,1,981.44,1.142373457398139
0,1,981.45,1.1423422864013333
0,1,981.46,1.1422869716601365
0,1,981.47,1.1422150861337168
0,1,981.48,1.1422357998848793
0,1,981.49,1.1421722723063354
0,1,981.5,1.142185393365293
0,1,981.51,1.1421483743597582
0,1,981.52,1.142104828448739
0,1,981.53,1.1420245301169556
0,1,981.54,1.1419583017405819
0,1,981.5500000000001,1.1418738375152224
0,1,981.5600000000001,1.1418424823816904
0,1,981.57,1.141827951200689
0,1,981.58,1.1418500691132412
0,1,981.59,1.1418474250598047
